"id","DTS","DTA","LPCs","PCs","CE_20_3","DG_34_2","DG_36_2","DG_36_3","DG_36_4","LPC_16_0","LPC_18_0","LPC_18_1","LPC_18_2","LPC_18_3","PC_16_0_9_0_CHO","PC_32_0","PC_32_1","PC_32_2","PC_33_2","PC_34_1","PC_34_2","PC_34_3","PC_34_4","PC_35_1","PC_35_2","PC_35_3","PC36_1","PC_36_2","PC_36_3_A","PC_36_3_B","PC_36_4_A","PC_36_4_C","PC_36_5_A","PC_36_5_B","PC_37_3","PC_38_2","PC_38_3_K","PC_38_5_A","PC_p_34_2_PC_o_34_3","PC_p_36_3_PC_o_36_4","PC_p_36_4_PC_o_36_5","PE_34_2","SM_d32_1","SM_d36_1","TG_46_0","TG_46_3","TG_48_0","TG_48_1","TG_48_2","TG_48_3","TG_50_0","TG_50_1","TG_50_2","TG_50_3","TG_50_4","TG_50_5","TG_52_0","TG_52_1","TG_52_2","TG_52_3","TG_52_4","TG_52_5","TG_52_6","TG_54_1","TG_54_2","TG_54_3","TG_54_4","TG_54_5","TG_54_6","TG_54_8","TG_56_4","DGs","SMs","TGs","LPC_PC","LPC_PC_309","LPC_PC_387","PC_TG_878","PC_TG_1670","PC_TG_1671","PC_TG_1680"
"LANMLR17B028",138.5,142.5,3192370.5,12546843.5,6275,29323,NA,2279,26793,145836.5,18395,110675,1977831,948830.5,4188,25165.5,16446,15889.5,35885,236186.5,3310566.5,2485653.5,53353.5,NA,80936,72592,20469.5,348946,325553,462979,1909421.5,NA,3055057,31835,35641,18881,13575.5,23112.5,NA,41624,NA,132768,7318,14109,19897,NA,33115,5652,6502,NA,20828,49365.5,52720.5,24150,NA,21552,9650,44840,45585,23844.5,78717,141578,75850,NA,17539,32944,64308.5,44043,80653,237278,NA,29197.5,14372.5,762942,-1.96973033903406,2.12013375379249,-0.627234428473312,7.40428687874038,6.09446211917941,5.78489736984096,5.44181089448687
"LANMLR17B029",129.5,133.5,4685091,6628849,NA,30952.5,NA,NA,18305.5,120210,15136.5,63004,3601240,885500.5,6594,8902.5,2449.5,7576,47533,49300.5,2066442.5,1095210.5,20548.5,NA,33937,45537,2747.5,70747,134091,96869,1360522,NA,1542989.5,NA,NA,2595.5,NA,14209.5,NA,22794.5,NA,129617.5,10324,NA,NA,2998,4163,NA,NA,2313,NA,5311.5,25303,14408.5,8114,19480.5,NA,NA,13033.5,21974.5,282421,461586.5,245151.5,NA,NA,6745.5,29646,94675,NA,NA,1667.5,49258,10324,1238992.5,-0.523720204234243,5.23821439052858,1.18961370617278,9.27346540475978,3.06737185462174,2.18777588593741,2.50568903243144
"LANMLR17B032",131.666666666667,132.666666666667,4202671.66666667,13300170.3333333,NA,NA,NA,NA,NA,94047.6666666667,NA,97042.3333333333,3129598.66666667,881983,NA,41718.6666666667,14560.6666666667,15847.3333333333,103556,216052.666666667,4234462.66666667,2667814.66666667,29933.3333333333,NA,67447,66861.6666666667,22043.3333333333,360345.333333333,324297.333333333,340469.666666667,1978141.33333333,NA,2678199,15057.5,66033,18053.3333333333,11803.3333333333,15811,NA,38724,NA,307976.666666667,5484,8166.66666666667,NA,NA,7334.66666666667,4068,2110.66666666667,NA,5177,23192.3333333333,29211.3333333333,22928,NA,7834.66666666667,8255,15121.6666666667,29163.6666666667,26003.3333333333,NA,NA,8517.66666666667,NA,13216.3333333333,20701.3333333333,38878.6666666667,69241.5,NA,NA,NA,0,9994.66666666667,307875.333333333,-1.69769916607923,3.18053800442621,0.20405479207739,9.19467122461149,9.47531246366535,8.81959725998094,8.38012656265122
"LANMLR17B035",136.5,137,3985572.5,6764898,NA,24052.5,NA,NA,16570,80703.5,15919,81249,3080350,727351,2811.5,17032,5512,9665,18477,71416,2134606,1267498,16651.5,NA,37232.5,36692,5743.5,93521,163658,143615.5,1242208,NA,1469188.5,NA,NA,5178,NA,9439,NA,20496.5,NA,142737,9931.5,NA,NA,9742,4321,NA,NA,8820,NA,8460.5,55388,41738,11479.5,26987.5,NA,NA,22262,31965.5,342534.5,653439.5,414037,NA,NA,9538,43908,113146.5,NA,NA,5617.5,40622.5,9931.5,1803385,-0.760215152307611,4.44563786329812,1.0689651528807,8.97813873593158,2.47072029465943,1.72946340188133,1.70251588776231
"LANMLR17B036",127.5,125.5,5939167.5,10051936,NA,NA,NA,NA,NA,115545,NA,142678.5,4287899,1393045,NA,48654,18084,19787,74885,217977.5,3256720,1548578,27005,NA,78665.5,64151.5,15284,250136,307944.5,181046,1680311.5,NA,2130685,18229.5,66425.5,10748,7417,15864.5,NA,28621,NA,444162.5,NA,9426.5,NA,NA,8353.5,10061,8080.5,NA,9265,131711,115635.5,38864,NA,15827.5,7192,47664,291173,270041,NA,NA,12851,NA,51566,212178,297506,371186,NA,NA,NA,0,9426.5,1713562,-0.787488139799315,4.53894504501942,0.969246470448135,8.61699674707506,8.20108252757197,7.12834898043252,7.23644478387633
"LANMLR17B037",140.5,138,2204812,11419716.5,NA,26560,NA,NA,17246,231198,38177,92935,1652344.5,209246,5732,36558,10255.5,15465,96348.5,128763.5,4140660.5,1989826.5,23586.5,NA,84710,86167.5,12398.5,253556,231287.5,213283.5,2155829,NA,1817372,21818,39547,15519.5,12542,13193.5,NA,67514.5,NA,213054.5,18945,23681,NA,29974,21591,13205,12519,22814,6355,21202.5,61648.5,46503,20024,49834,21091,34694,46009.5,43124,427475,584182,187783,NA,36265,39904.5,74392,149538.5,NA,NA,8228,21903,21313,1349943.5,-2.31728050610861,2.9955484271327,-0.0689303986646187,7.5131498740178,5.17108462879802,4.11514558254337,4.24088012004828
"LANMLR17B039",130.5,129,2132446.5,10529218.5,23981,58126.5,NA,3564,46715.5,93867.5,12656,121996,1597672,306255,5319,19355,5484.5,14756.5,35587.5,208523.5,3077477,1866781,25207.5,NA,61911.5,49267.5,15490,137358.5,451587,177807,2281681,11253,3613352.5,NA,NA,9239,13185,13208,NA,3669,NA,182137,7174.5,NA,5308,1564,5000,NA,NA,694,NA,6751,13411,8826,1004,6924,NA,NA,10122,17486,113718.5,167751.5,86136.5,NA,2568,6808.5,20656.5,58741.5,181466,354370,1045,106624,7174.5,788467.5,-2.30958342545492,3.16437290497389,-1.06292872085082,9.09721895890563,5.29753194939027,4.42155957635284,4.69353747923691
"LANMLR17B040",134,138,439233,17397658,NA,NA,NA,NA,NA,184328,NA,10269,201521,43115,NA,25264,12841,25461,23665,333243,6020545,2686175,40646,NA,61456,129102,21047,401247,510981,281231,3179279,NA,3527621,22208,63073,17991,10802,21502,NA,3325,NA,151107,2690,7441,NA,NA,1900,2414,2706,NA,6622,12895,8352,3233,NA,9361,1217,11411,18187,5480,NA,NA,1105,NA,9625,19419,52992,NA,NA,NA,NA,0,10131,166919,-5.30776284985478,-0.48082544473916,-4.12969347782839,11.6296789566138,12.4116320055533,11.2472912121443,11.4904375418561
"LANMLR17B041",133.5,134.5,311881.5,16764525,NA,NA,NA,NA,NA,73481.5,NA,5583.5,172314,60502.5,NA,27461,32392.5,29832,47649.5,423912.5,4982997.5,2773202,46703.5,NA,80031.5,60583,21729,544058.5,412937.5,409533.5,2543857.5,NA,4215305.5,28843,36874,16841,16638,29000,NA,5871.5,NA,306527,NA,2278.5,NA,NA,6245.5,4421.5,4969,NA,3921,19902.5,120274,87349.5,NA,11959.5,6893.5,13622,53523,117263,NA,NA,15811.5,NA,23322.5,33356.5,100923.5,235640,NA,NA,NA,0,2278.5,859398,-5.79505970250721,-1.24694676567391,-4.64396175967261,9.73565832533626,8.36353007250331,7.51691460031829,7.39047903575021
"LANMLR17B042",144.333333333333,144,269151.333333333,13897743,NA,3268.5,NA,NA,1773.5,97532,12960,5561,128159,29259.3333333333,12753,40696,21623.3333333333,22007.3333333333,33870,220323.666666667,4378341.66666667,2306929.33333333,31939,NA,33544,35083.6666666667,22789,264268.666666667,342049.666666667,257017.666666667,2492922.33333333,NA,3333381.33333333,25638,66668,8257,5918,20390,10615,10316.6666666667,NA,186381.666666667,4967.5,91809,NA,629.5,5638.33333333333,2637,884,1035.5,6888,4633.33333333333,14924.6666666667,9377.66666666667,1114.5,2348.66666666667,4520,1157,9605.33333333333,13463.6666666667,36386,58214,24888,NA,3321,5506.66666666667,10066.3333333333,26580.6666666667,NA,NA,1309.5,3361.33333333333,33914.6666666667,199295,-5.91451023085487,-1.24062889028356,-4.94050167590363,10.3950871716473,8.2663287615887,7.35375605309423,7.42264394828259
"LANMLR17B043",134,131.5,5707299,11835143,NA,NA,NA,NA,NA,84801.5,NA,126021.5,4043708,1452768,NA,25296.5,20838.5,29997,104139,196186.5,3720402,1996466,36030,NA,49362,47875,12719,303638.5,315094,247794.5,2014990.5,NA,2640343,12092.5,24361,13196.5,5109.5,12840,NA,19090.5,NA,351422.5,3208,4745.5,NA,NA,3467,4489.5,3055.5,NA,7449.5,25420.5,22504.5,41214.5,NA,6748.5,3194,15194,28056,12714.5,NA,NA,3940,NA,9365.5,35899.5,93293,NA,NA,NA,NA,0,6349.5,316006,-1.06003663617379,4.0846457292394,0.605651462555901,10.3632475333704,10.255446650815,9.32423449328753,9.37297309338857
"LANMLR17B044",135,135,2050156,15564938,NA,NA,NA,NA,NA,98157,NA,76478,1630686,244835,NA,31451,18115,23458,25861,274038,5785488,2416826,13432,NA,56593,24810,20751,275058,413441,136649,3491573,NA,2513181,6329,25099,11379,5939,3523,NA,12695,NA,97059,NA,19627,NA,NA,5807,2268,2772,NA,6403,13719,44615,24972,NA,17144,10939,1726,23426,51896,NA,NA,20907,NA,6234,18138,45400,114732,NA,NA,NA,0,19627,411098,-2.92449423387426,3.57693220042483,-0.624035570494245,9.960429904939,8.11230878339057,6.85298373872047,7.38374726523127
"LANMLR17B046",131,136,2288693,9755371,NA,4809,NA,NA,1900,188770,20002,61526,1750108,268287,2926,31419,4025,13942,183160,91523,3199819,1901285,31706,NA,43715,83151,2789,74591,199379,123883,1689579,NA,2035444,NA,NA,2974,NA,7925,NA,34925,NA,172332,21458,NA,NA,2025,11453,NA,NA,1413,NA,11938,25523,22175,3592,1896,NA,NA,12679,17070,74162,125236,94525,NA,NA,5470,3262,29532,NA,NA,857,6709,21458,442808,-2.09167278396283,3.82039382366651,-0.217899575780786,8.12612094262915,5.0811505459287,4.33013505175612,4.15982405403591
"LANMLR17B047",136.666666666667,132.333333333333,3510936,10845093.6666667,25859,167904,NA,3681,117671,87057,11720,115507.666666667,2839249,465215.666666667,21010,97926,20775.3333333333,12678,34367,230412.333333333,4904364.5,2206522.66666667,28043.3333333333,NA,59429.3333333333,60428.3333333333,39162.6666666667,191164,266426.666666667,133221.666666667,2153110.33333333,NA,1975605.33333333,21058.5,26737.5,15305,8088,20280.3333333333,15425,43770.5,NA,90398,22848,88516,9359,NA,54019.3333333333,17630.5,14969,NA,53742,68565,96821,59586,NA,62381.5,55819,27897,86791.6666666667,98567.6666666667,429863,840914,188311.333333333,NA,18498.3333333333,43522,101116.333333333,245709.666666667,560988,1250845,NA,96418.6666666667,66626.6666666667,2227262,-1.55455184644849,4.48154978979498,0.513771984653676,6.08516918865619,7.49290473224991,4.95317388388536,4.89157950031233
"LANMLR17B048",128.666666666667,127.666666666667,2979986,13740688.6666667,NA,NA,NA,NA,NA,152297.333333333,NA,155605,2180438.66666667,491645,NA,56541,27325.6666666667,18839.6666666667,81639,459560.333333333,4386782,2286571.66666667,39840.6666666667,NA,96802.6666666667,108356.666666667,35037.3333333333,313692.333333333,552022.666666667,256601.666666667,2262864,NA,2653956,17480,63817.3333333333,15902.6666666667,8347.66666666667,15613.6666666667,NA,45344.3333333333,NA,309385.333333333,NA,25597,NA,NA,43064.6666666667,12740.3333333333,7421.66666666667,NA,31745.3333333333,27363.6666666667,99865,62967.3333333333,NA,13661.3333333333,41377.6666666667,12045.3333333333,60248,115897,NA,NA,23114,NA,15836.6666666667,42234.6666666667,100066.666666667,245249.666666667,NA,NA,NA,0,25597,954899,-2.40738990949542,2.77147174472801,-0.601588490525566,7.73463770783936,7.63357158305722,6.69847164087708,6.68292887732355
"LANMLR17B052",126.333333333333,125.666666666667,3538936,11991191.3333333,NA,7546,NA,NA,5269,76892,6425,62867.3333333333,2506885.66666667,890149.333333333,3429,13336.3333333333,13773.6666666667,18289.6666666667,24245,218844,3730020,2351289,27304,NA,41879,38756.6666666667,11607,204483.333333333,281365,212998.666666667,1909623,NA,2835546.33333333,17807,24759.5,9412,10259,9293.66666666667,NA,14372,NA,287971.666666667,1560,5944,NA,5184,4624.66666666667,2257.5,3301,4197,7131,35013.3333333333,52122.6666666667,17189.3333333333,7770,9930.66666666667,1725.5,18104,21338,17660,298321,412909,67961.3333333333,NA,9600,16099.3333333333,41675,97019,NA,NA,10466,4271.66666666667,5002.66666666667,590315.666666667,-2.77768170056519,2.50297338299885,-1.3089143828069,10.2419998387609,7.75602245230996,7.00247355117019,6.84099229161887
"LANMLR17B053",136,133.333333333333,3731820.66666667,8957442.66666667,13936,166599,NA,5516,123818.5,70141,9294.5,92475,2823733.66666667,739274.666666667,7578,37000,9837.66666666667,14792,177228.333333333,130976.666666667,2733766.5,1643090.33333333,24626,NA,62785,57174.6666666667,11963.6666666667,180268,173599,138363,1624128,NA,2800971.66666667,17047,14275,12863.3333333333,5541,16399.6666666667,NA,29384,NA,240109.333333333,10689,6490,43101,NA,43486.6666666667,7544,4546,NA,9887,41703.6666666667,73203.6666666667,52572,NA,9006,2663,27198,43216.6666666667,45382.6666666667,345000,603178.5,372744,NA,13291.6666666667,35442.3333333333,107190,146148.5,413846.5,751720.5,NA,197289,9289.33333333333,2348796.66666667,-1.33303712858905,4.91976378981372,-0.0363809198559099,6.52155316309756,4.99576728715498,3.64789974548275,3.65142907738439
"LANMLR17B055",152,141,2386669,12214417.5,NA,6461,NA,NA,3054,88544.5,7383,98058.5,1900849,295525.5,11463,20498.5,31733.5,21964.5,293782,193029,3938376,1646782,22020,NA,67517.5,82613,21053.5,286148.5,395766,193215,2665801.5,NA,2230306.5,NA,65877,20666.5,15071,17470,NA,40522,NA,266745,13185,17243,NA,433,3306,3398,4201,518,44644,27901.5,12606,16672,695,13467.5,3851,43903,34731,10137.5,42734,51714,23086.5,NA,30606,36894,97590.5,17253,NA,NA,1304,4757.5,21806.5,399019.5,-2.5966056865771,3.06170148140625,-0.471170024615562,10.5158293669339,8.17088693842432,6.91979047012472,7.61398011670271
"LANMLR17B056",131.5,129.5,2567821,13325287.5,NA,NA,NA,NA,NA,93660.5,NA,137386,1853426,483348.5,NA,102524.5,50070,27176.5,152167,336415,4185241,2538750.5,33728.5,NA,100051,181782,52652.5,357078.5,403656.5,337718,2114819.5,NA,2199894,22807,57584,13743,4720.5,32720,NA,84044,NA,261715.5,NA,109430.5,NA,NA,47986,26838.5,12550.5,NA,37195.5,62414.5,171391.5,135321.5,NA,38043,41735.5,18009,106400,156863.5,NA,NA,56568.5,NA,25598,59685.5,151393,346850,NA,NA,NA,0,109430.5,1494844,-2.37671095635667,2.45314242236538,-0.246772770430414,6.5386378403136,6.21078505095783,5.48980529316067,5.22627502659567
"LANMLR17B057",136.333333333333,NA,251255,15339367.6666667,NA,10076,NA,NA,10596,59112,2272,3229.33333333333,152862.333333333,35294,1583,14888,17952,31708,48848,299154.333333333,5160873.66666667,2160405,40848.3333333333,NA,45686.6666666667,31492.3333333333,15543.3333333333,433095,365706,262013.666666667,2853179.66666667,NA,3493954.33333333,23298,32156,9366.33333333333,9397.5,19832.6666666667,NA,6601.66666666667,NA,486417,2888.5,3438,NA,1132,4385.66666666667,3350,3812,727,4343,13767,19317,12445,1239,9027.66666666667,5116.5,8961,17658.3333333333,20931,114399,149835,23826.3333333333,NA,7631.5,15747.3333333333,42422.3333333333,74414.5,NA,NA,1865,6890.66666666667,4217.66666666667,341012.333333333,-6.00663498112033,-0.836450715220053,-4.60997005393862,10.1981037427697,8.67847545583763,7.42944964998905,7.82419085469004
"LANMLR17B059",126,122.5,4236833,10347376,17538,184363,NA,3641,116908,121644,14338,81493.5,3325350,701176.5,11786,22149.5,8158.5,19588.5,42430,113193,3996011,2106980.5,22211,NA,60826,62564,7907.5,194110,206125,197908,2043148,NA,3171284,16595,26139,12595,7615,18317,NA,25815,NA,196158,8872.5,8625,5844,NA,6851,5296,4130,NA,26737,28733.5,35265,19782,NA,12023,32393,61943,30489,25491.5,259151,416522,150962.5,NA,26022,33541,61440.5,82736,376280,697903,NA,152456,13185,1399166,-1.32760553167098,4.07763338675244,0.0553734608652726,8.58874929524351,6.52475494381678,4.31340553419852,4.26782428632014
"LANMLR17B060",132,132,7919000,11309061,NA,NA,12913,2496,19113,137553,38250,142187,5329166,2271844,4139,22646,13925,20729,35712,147481,5002055,2522692,33938,6315,50545,68968,5216,161510,326546,173569,2520321,NA,46798,NA,63839,3432,NA,23127,NA,NA,60774,225947,NA,NA,NA,NA,20256,18491,NA,NA,3139,22519,75905,52084,13448,26434,NA,2574,37757,56042,513687,899848,NA,4505,4236,21702,62892,180119,NA,NA,5421,34522,0,2021059,-0.514088980773954,4.94032856701954,6.83131908771292,7.94802780062763,NA,NA,NA
"LANMLR17B064",134,131,370477,17279375,NA,NA,NA,NA,NA,92953,NA,11681.5,222264,43578.5,NA,27461.5,25422,27440.5,84582.5,587567.5,5380887,2690562,43647,NA,92867.5,77929,41067,666928,584348.5,448406.5,2795095.5,NA,3633342,24231.5,24656,20390,11649,22762.5,NA,9199,NA,405545,NA,4808.5,NA,NA,4326,3567.5,2734,NA,2911.5,14018,18029.5,7405,NA,4057.5,5123.5,6284.5,16694.5,22468.5,NA,NA,2208.5,NA,4453.5,11630,19728,26468,NA,NA,NA,0,4808.5,158874,-5.56016424212635,-1.08047687200228,-4.1004573679359,10.9652703880052,11.536438383833,10.5337594751929,10.5905355912998
"LANMLR17B067",139,137.333333333333,2625539,13143957.6666667,NA,1254,NA,NA,1753,120524.666666667,9562,73035.3333333333,1979030.33333333,449761.333333333,1601,42725.3333333333,15240.3333333333,24530.3333333333,61304.3333333333,280105,4261132.33333333,1996739.66666667,25213.3333333333,NA,68872,38336.6666666667,20302.6666666667,378925,422785,276980.666666667,2375318.66666667,NA,2805088.66666667,16533,19051.5,18112.3333333333,7152.5,10494,NA,13029,NA,287026,6016.5,4827,NA,1065,3196.66666666667,4376.5,2680.5,714,19041.5,28517,16499,11007.6666666667,1573,4774.66666666667,3423.5,32365,41369.6666666667,6684.33333333333,60510,106531,27038.6666666667,NA,14056.5,26476.3333333333,68516.3333333333,17829,NA,NA,1553,1002.33333333333,7229,347967.666666667,-2.32422671238609,2.87998019956688,-0.530073382107506,10.4458084286872,8.42208761483856,7.34146913482841,7.55954074419357
"LANMLR17B068",133,134,2468503,9670654,NA,3418,NA,NA,3183,153761,23869,45354,1887794,357725,4794,19567,3607,13310,29093,71982,3295437,1885419,15777,NA,53540,33604,5498,116362,150528,181525,1802104,NA,1957986,NA,NA,12732,NA,2987,NA,20300,NA,123366,11848,NA,NA,963,11982,NA,NA,874,NA,9417,26175,17673,798,2094,NA,NA,13573,11927,86703,137224,86240,NA,NA,2954,14364,27956,NA,NA,1235,6601,11848,452152,-1.96997706013504,3.37846118543675,-0.0526691060031102,8.10345724140885,5.25596880193411,4.45038418348,4.38518128363195
